"instalacao","sigla","classe","campo","operador_grupo","operador_concessao","situacao","lamina_m","ano_inicio","idade_calculada","idade_anp","lat","lon","uf"
"FPSO CIDADE DE SANTOS","FPCST","Unidade Flutuante","URUGUÁ","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1300","2010","16","13","-24.30201667","-42.71461667",""
"FPSO CIDADE DE SÃO PAULO","FPCSP","Unidade Flutuante","SAPINHOÁ","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2140","2013","13","11","-25.79933417","-43.26283917",""
"FPSO CIDADE DE SÃO VICENTE","FPCSV","Unidade Flutuante","ITAPU","BW OFFSHORE","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","2009","2009","17","14","-24.83385833","-42.72267222",""
"FPSO CIDADE DE SAQUAREMA","FPCSQ","Unidade Flutuante","TUPI","SBM","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2120","2016","10","6","-25.4912675","-42.78126306",""
"FPSO CIDADE DE VITÓRIA","CVIX","Unidade Flutuante","GOLFINHO","BW OFFSHORE","BW ENERGY MAROMBA DO BRASIL LTDA","Operando","1386","2007","19","15","-20.04277778","-39.52555556",""
"FPSO CIDADE DO RIO DE JANEIRO","FPRJ","Unidade Flutuante","ESPADARTE","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","1500","2007","19","7","-22.85916472","-40.35912028",""
"FPSO ESPIRITO SANTO","FPSO ESP SANTO","Unidade Flutuante","OSTRA","SHELL","SHELL BRASIL PETRÓLEO LTDA.","Operando","1780","2009","17","6","-21.20857056","-39.74271472","ES"
"FPSO FLUMINENSE","FPSO FLUMINENSE","Unidade Flutuante","BIJUPIRÁ","SHELL","SHELL BRASIL PETRÓLEO LTDA.","Descomissionada","700","2003","23","20","-22.65070917","-40.427285","RJ"
"FPSO FORTE","FORTE","Unidade Flutuante","ALBACORA LESTE","PRIO","PRIO FORTE S.A.","Operando","1230","2006","20","18","-22.08638778","-39.82799861",""
"FPSO FRADE","FRADE","Unidade Flutuante","FRADE","PRIO","PRIO FORTE S.A.","Operando","0","2009","17","13","-21.88333333","-39.85138889","RJ"
"FPSO GUANABARA","FPGNB","Unidade Flutuante","MERO","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1930","2021","5","4","-24.58365556","-42.25626667",""
"FPSO MARECHAL DUQUE DE CAXIAS","FPMDC","Unidade Flutuante","MERO","MISC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2070","2024","2","-2","-24.68622167","-42.29323194",""
"FPSO MARIA QUITÉRIA","FPMQT","Unidade Flutuante","JUBARTE","YINSON","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1385","2024","2","-1","-21.27003889","-39.99762222","ES"
"FPSO PEREGRINO","PEREGRINO 1","Unidade Flutuante","PEREGRINO","EQUINOR","PRIO TIGRIS S.A","Operando","98","2011","15","14","-23.31725556","-41.25740278",""
"FPSO PETROJARL 1","PJ-1","Unidade Flutuante","ATLANTA","ENAUTA","BRAVA ENERGIA S.A.","","1537","2018","8","5","-24.12492222","-41.88520278","RJ"
"FPSO PIONEIRO DE LIBRA","FPPL","Unidade Flutuante","MERO","OOG TK","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1920","2017","9","5","-24.54004972","-42.13184361",""
